"CitationKey","PaperTitle","ThesisCitationLocation","ThesisCitingParagraph","RelationToCitingParagraph","RelevantPassageSection","RelevantPassageInPaper","PDFPath"
"Preskill2018Quantum","Quantum Computing in the NISQ","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Quamtum Computer\q-2018-08-06-79 Quantum Computing in the NISQ era and beyond.pdf"
"Arute2019Nature","Quantum supremacy using a programmable superconducting processor","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Quamtum Computer\s41586-019-1666-5 Quantum supremacy using a programmable superconducting processor.pdf"
"Schoelkopf2008Nature","Wiring up quantum systems","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Quamtum Computer\451664a Wiring up quantum systems.pdf"
"Krinner2022Nature","Realizing repeated quantum error correction in a distance-three surface code","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Quamtum Computer\s41586-022-04566-8 Realizing repeated quantum error correction in a distance-three surface code.pdf"
"Sarovar2020Quantum","Detecting crosstalk errors in quantum information processors","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Quamtum Computer\q-2020-09-11-321 Detecting crosstalk errors in quantum information processors.pdf"
"Nachman2020npjQI","Unfolding quantum computer readout errors","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Quamtum Computer\s41534-020-00309-7 Unfolding quantum computer readout noise.pdf"
"Kandala2019Nature","Error mitigation extends the computational reach of a noisy quantum processor","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Quamtum Computer\s41586-019-1040-7 Error mitigation extends the computational reach of a noisy quantum processor.pdf"
"Bharti2022RMP","Noisy intermediate-scale quantum algorithms","Line 128","L128: Current quantum processors remain in the noisy intermediate-scale quantum (NISQ) era \cite{Preskill2018Quantum}, where the performance of quantum circuits is strongly limited by hardware noise \cite{Arute2019Nature}. In realistic devices, computation is affected by multiple error sources, including fabrication imperfections, decoherence induced by environmental coupling, control errors, crosstalk between qubits, and readout noise \cite{Schoelkopf2008Nature,Krinner2022Nature,Sarovar2020Quantum,Nachman2020npjQI}. As circuit depth increases, these noise sources accumulate rapidly and cause measured outputs to deviate significantly from ideal theoretical predictions \cite{Kandala2019Nature}. This noise problem is one of the main obstacles preventing near-term quantum devices from delivering reliable large-scale practical advantage \cite{Bharti2022RMP,Kim2023NatureUtility}.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\Quamtum Computer\RevModPhys.94.015004 Noisy intermediate-scale quantum algorithms.pdf"
"Viola1999PRL","Dynamical Decoupling of Open Quantum Systems","Line 130","L130: To combat noise in quantum circuits, several strategies have been developed at different levels of hardware and software. One representative low-level technique is dynamic decoupling \cite{Viola1999PRL}, which suppresses certain types of decoherence by inserting carefully designed pulse sequences during idle periods. Dynamic decoupling is useful for extending coherence times, but it does not provide a general solution for all gate and measurement errors that appear in realistic quantum computations.","Used as the representative citation for dynamic decoupling as a low-level noise-suppression technique.","","","D:\Lab\Quantum_Project_Exercise\Reference\PhysRevLett.82.2417 Dynamical Decoupling of Open Quantum Systems.pdf"
"Terhal2015RMP","Quantum error correction for quantum memories","Line 132","L132: At a more fundamental level, quantum error correction (QEC) provides a rigorous framework for protecting quantum information by encoding logical qubits into many physical qubits and actively correcting errors during computation \cite{Terhal2015RMP}. In principle, QEC offers a long-term route toward fault-tolerant quantum computing. However, its implementation requires large hardware overhead, potentially requiring millions of physical qubits to run practical algorithms \cite{Gidney2021Quantum}, as well as frequent syndrome extraction and physical error rates below the fault-tolerant threshold, all of which remain beyond the capability of current NISQ devices.","Used as background support for the NISQ-era description and current device limitations.","","","D:\Lab\Quantum_Project_Exercise\Reference\QEC\RevModPhys.87.307 Quantum error correction for quantum memories.pdf"
